relative_path,visual_review_note
Client Inputs/1. Valyx FDD Input/BS - Reserves/WhatsApp Image 2026-05-14 at 3.45.23 PM.jpeg,Screenshot of shareholder/share-capital allocation table for equity and preference share capital; duplicates/shareholding should be cross-checked to DD6.0 shareholder premium workbook.
Client Inputs/1. Valyx FDD Input/Taxation/GSTR-3B AND GSTR - 1/FY 2025-26/10.Jan-26/NIL return confirmation.png,WhatsApp/chat screenshot indicating a request/confirmation around nil GST return/invoices for January 2026; not independently machine-readable as statutory filing evidence.
Client Inputs/21st_April_2026 Valyx Docs/InvoicePaymentFollowup.png,"Email/client communication screenshot showing invoice payment follow-up messages; readable only as corroborative screenshot, not a structured receivable ledger."
Client Inputs/21st_April_2026 Valyx Docs/fd balance confirmation.jpg,"HDFC Bank balance confirmation certificate dated 21/05/2026 for two fixed deposits, account refs 50301252973265 and 50301252974012, INR 10,000,000 each, start 28/11/25, rate 6.6%, maturity 28/05/27, lien marked NO."
Client Inputs/FD confirmations/FW_ Urgent - Request for Information - Valyx Wealthtech Private Limited/Account balance confirmation.jpg,HDFC balance confirmation certificate page for Valyx fixed deposit accounts with account details and bank branch stamp/signature.
Client Inputs/FD confirmations/FW_ Urgent - Request for Information - Valyx Wealthtech Private Limited/Account balance confirmation2.jpg,Signature/stamp continuation page for the HDFC balance confirmation certificate.
Client Inputs/FD confirmations/FW_ Urgent - Request for Information - Valyx Wealthtech Private Limited/fd balance confirmation.jpg,"Duplicate/alternate HDFC balance confirmation certificate showing the two INR 10,000,000 FDs at 6.6%, maturing 28/05/27, no lien."
Client Inputs/PreSeedDiligenceProofs/CP Proofs/DPIIT_Application_Proof.jpeg,Startup India portal screenshot showing application submitted successfully; substantive recognition is corroborated by Startup Certificate PDF.
Client Inputs/PreSeedDiligenceProofs/CP Proofs/SH-7-Filed.jpeg,"MCA portal screenshot showing SH-7 filing/application history; status appears approved/STP, should be tied to filed SH-7 and ROC challan evidence."
Client Inputs/PreSeedDiligenceProofs/GlassWing_Non_Director_Confirmation.jpeg,ZaubaCorp/MCA-style screenshot for Glasswing Infotech Private Limited showing company name changed to Glasswing Network Private Limited and status active; used as non-director/background corroboration only.
