source_id,source
S0,DD/Vlayx_DD_work/output/manifest.csv and coverage.csv
S1,Client Inputs/1. Valyx FDD Input/General/FY 2024-25/VWPL_ FR 31.3.2025 - Actuals.xlsx
S2,Client Inputs/1. Valyx FDD Input/General/YTD/VWPL_ PROVISIONAL FR 28.2.2026 - Actuals.xlsx
S3,Client Inputs/2. Books Extracts/Profit and Loss - Valyx FDD.xlsx
S4,Client Inputs/2. Books Extracts/Profit and Loss till YTD Feb-26.xlsx
S5,Client Inputs/2. Books Extracts/Balance Sheet FY 2024-25.xlsx
S6,Client Inputs/2. Books Extracts/Balance Sheet YTD Feb-26.xlsx
S7,Client Inputs/1. Valyx FDD Input/Assets/Trade Receivables/DD8.7 Aging of AR/Aging of Accounts Receivables - 28.2.2026 - Actuals.pdf
S8,Client Inputs/1. Valyx FDD Input/Assets/Trade Receivables/DD8.7 Aging of AR/AR Aging Details By Invoice Due Date.pdf
S9,Client Inputs/1. Valyx FDD Input/FDD_Customer_Invoices/*.pdf and duplicate invoice folder
S10,Client Inputs/1. Valyx FDD Input/KPIs/MIS_RevenueProjection_Customers_Pipeline_Comparables.xlsx
S11,Client Inputs/21st_April_2026 Valyx Docs/Metrics_till_Mar2026.csv
S12,Client Inputs/21st_April_2026 Valyx Docs/Pricing Proposal.xlsx
S13,Client Inputs/21st_April_2026 Valyx Docs/Valyx __ Automation Tracker.xlsx
S14,Client Inputs/21st_April_2026 Valyx Docs/Mooving_Valyx_Agreement_928b981f-9535-4fe1-818b-a7388d1a4d89.pdf
S15,Client Inputs/3. Hindware Data Request/Awfis_valyx_agreement-.pdf
S16,Client Inputs/3. Hindware Data Request/Valyx - AI Powered Billing for AGI Hindware - Scope.pdf
S17,Client Inputs/1. Valyx FDD Input/Organizationand structure/Org Chart Updated.pptx
S18,Client Inputs/PreSeedDiligenceProofs/CP Proofs/Valyx - Founder Employment Agreement - Anirudh/Avishek.pdf
S19,Client Inputs/PreSeedDiligenceProofs/CP Proofs/Executed Version - Valyx - Waveform SSHA (August 28 2023).pdf
S20,Client Inputs/21st_April_2026 Valyx Docs/Startup Certificate.pdf
S21,Client Inputs/21st_April_2026 Valyx Docs/Valyx_Mobile device Policy.docx.pdf
S22,Client Inputs/1. Valyx FDD Input/Login Credentials of Valyx.docx
S23,Client Inputs/1. Valyx FDD Input/Assets/BS - Liabilities/Trade Payable List along with MSME vendors.xlsx
S24,Client Inputs/1. Valyx FDD Input/Fixed Deposits/*.txt; FD balance confirmation images
S25,Client Inputs/3. Hindware Data Request/Valyx Valuation report.pdf; MIS cap table sheet
